STATEFP,COUNTYFP,NetReturns,NetIndividuals,NetAGI,realNETAGI,year
6,1,-18,-57,653,770.54,2012
8,1,16,49,1755,2070.9,2012
9,1,34,66,3842,4533.56,2012
11,1,4,-2,6540,7717.2,2012
12,1,0,-1,-69,-81.42,2012
16,1,0,4,305,359.9,2012
25,1,-4,-8,-495,-584.1,2012
34,1,10,25,606,715.08,2012
35,1,7,12,862,1017.16,2012
36,1,5,12,383,451.94,2012
37,1,-39,-33,3877,4574.86,2012
4,3,13,32,694,818.92,2012
9,3,40,84,2992,3530.56,2012
10,3,26,19,1911,2254.98,2012
15,3,13,14,1513,1785.34,2012
18,3,11,20,1095,1292.1,2012
24,3,16,54,3083,3637.94,2012
32,3,-4,30,466,549.88,2012
34,3,36,81,3398,4009.64,2012
42,3,31,54,205,241.9,2012
44,3,1,8,151,178.18,2012
45,3,12,16,603,711.54,2012
51,3,14,21,929,1096.22,2012
8,5,-11,-14,133,156.94,2012
9,5,11,22,826,974.68,2012
10,5,-15,-22,-619,-730.42,2012
12,5,4,15,430,507.4,2012
23,5,10,16,1189,1403.02,2012
24,5,5,14,1413,1667.34,2012
25,5,16,50,2054,2423.72,2012
34,5,25,51,1238,1460.84,2012
36,5,82,173,3476,4101.68,2012
9,7,14,27,853,1006.54,2012
34,7,24,53,1081,1275.58,2012
36,7,30,39,2516,2968.88,2012
44,7,17,37,1244,1467.92,2012
45,7,-1,-1,-158,-186.44,2012
50,7,12,17,972,1146.96,2012
9,9,57,105,3825,4513.5,2012
12,9,-4,-13,232,273.76,2012
25,9,7,45,1836,2166.48,2012
37,9,1,2,-154,-181.72,2012
1,101,16,41,587,692.66,2012
12,101,17,24,275,324.5,2012
37,101,-267,-615,-13508,-15939.44,2012
42,101,13,21,2983,3519.94,2012
12,103,-8,-18,-1566,-1847.88,2012
36,103,286,384,13586,16031.48,2012
39,103,13,27,740,873.2,2012
12,105,15,23,739,872.02,2012
18,105,13,17,558,658.44,2012
37,105,-553,-2421,-18936,-22344.48,2012
37,107,56,100,1900,2242,2012
